,Keyword,Status,Page,Title,Link,Id,Date,Facebook Link,Image,Video
33,cat,Active,"Your Cat Backpack by Travel Cat
Sponsored","Cat backpacks, beds, and harnesses - whatever you need, get it now! Shop Travel Cat's Labor Day sale collection for $15 off! Use code LABORDAY22 🐈",,ID: 566308351948215,"Started running on Sep 1, 2022",https://www.facebook.com/yourcatbackpack/,https://scontent.fktm6-1.fna.fbcdn.net/v/t39.35426-6/302182016_797995524982317_3620486885849493825_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=j60kcSLADQ8AX8lijI6&_nc_oc=AQna-kb69T8mdFPAw_onF10mHt2GnL2ZvYZPIULNM2yMpbW_xFOkN2ek36rEGnz91wE&_nc_ht=scontent.fktm6-1.fna&oh=00_AT8DApkqKkiVx0oFz5PdGZF55UecZnRf5Uf1XMyXN4MnwA&oe=6315DBE7,
34,cat,Active,"Your Cat Backpack by Travel Cat
Sponsored",,YOURCATBACKPACK.COM,ID: 5645875158807903,"Started running on Sep 1, 2022",https://www.facebook.com/yourcatbackpack/,,https://video.fktm6-1.fna.fbcdn.net/v/t42.1790-2/302680524_1687335964985195_5978308753781331115_n.?_nc_cat=103&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=ycfQLSgp_0IAX-2UdlX&_nc_ht=video.fktm6-1.fna&oh=00_AT-YxPq1daekCU_LyR57YNr2copSEFu7VYaHEOxptw5XPw&oe=63118D82
35,cat,Active,"Your Cat Backpack by Travel Cat
Sponsored",,,ID: 791973702251356,"Started running on Sep 1, 2022",https://www.facebook.com/yourcatbackpack/,https://scontent.fktm6-1.fna.fbcdn.net/v/t39.35426-6/301479890_620279602956145_2621192202446410338_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=rQva01k3nq0AX_-ZWTi&_nc_ht=scontent.fktm6-1.fna&oh=00_AT9bJyNM2kfdaIYsKBUb_3OFxRVHJV4s7XevA7W5PzM5aA&oe=6315876D,
36,cat,Active,"Your Cat Backpack by Travel Cat
Sponsored",,YOURCATBACKPACK.COM,ID: 509740217626410,"Started running on Sep 1, 2022",https://www.facebook.com/yourcatbackpack/,,https://video.fktm6-1.fna.fbcdn.net/v/t42.1790-2/302226852_374003721604340_1551060346435831622_n.?_nc_cat=106&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=sUfSo-V1uH0AX8UUeXa&_nc_ht=video.fktm6-1.fna&oh=00_AT9TUum4H7RNoHO-JMuy7aikpX9j-kL9xvhfxF3FcLaYHw&oe=631182B5
37,cat,Active,"Your Cat Backpack by Travel Cat
Sponsored",You'll find something you love here 🐾 Shop the Travel Cat Labor Day sale collection & use code LABORDAY22 to get $15 off!,YOURCATBACKPACK.COM,ID: 1711900229180962,"Started running on Sep 1, 2022",https://www.facebook.com/yourcatbackpack/,https://scontent.fktm6-1.fna.fbcdn.net/v/t39.35426-6/300507559_1404154386760773_5031829806833860076_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=t62_YIINbdsAX971KPD&_nc_ht=scontent.fktm6-1.fna&oh=00_AT9ejdXJc8winsUzobNGUThGPDWFLUgkLEi-EYfi_HnEYQ&oe=6315FBEF,
38,cat,Active,"Your Cat Backpack by Travel Cat
Sponsored",You'll find something you love here 🐾 Shop the Travel Cat Labor Day sale collection & use code LABORDAY22 to get $15 off!,,ID: 477503957260505,"Started running on Sep 1, 2022",https://www.facebook.com/yourcatbackpack/,https://scontent.fktm6-1.fna.fbcdn.net/v/t39.35426-6/302241957_598005922047810_74578723810550335_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=gp_2cYitGx0AX-590kh&_nc_ht=scontent.fktm6-1.fna&oh=00_AT-G3rvGuiHSRNCMepuZAMRtxFgkf0lmUlU7f4xQIiwERg&oe=63170BFA,
39,cat,Active,"Cat Person
Sponsored","Hear what cat parents are saying about our high-quality, high protein cat food.",CATPERSON.COM,ID: 452711443565239,"Started running on Sep 1, 2022",https://www.facebook.com/catperson/,https://scontent.fktm6-1.fna.fbcdn.net/v/t39.35426-6/302681281_486096766279341_318228592226645800_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=us6AkKDYMFsAX-UackQ&_nc_ht=scontent.fktm6-1.fna&oh=00_AT9uxpLUmPTkP7NxgWkWNkAOfnT8E5v-nEd1O16xb6rHPw&oe=6315E369,
40,cat,Active,"Your Cat Backpack by Travel Cat
Sponsored","Tips for Harness Training 🐾

Want more tips on how to walk your cat and backpack train your cat?

😸yourcatbackpack.com/blog

Video via @travelcatmom

#travelcatlife #yourcatbackpack #adventurecat #travelcatshop #fatcatbackpack #catharness #catbackpack #catleash #walkyourcat",YOURCATBACKPACK.COM,ID: 402511031814021,"Started running on Aug 31, 2022",https://www.facebook.com/yourcatbackpack/,,https://video.fktm6-1.fna.fbcdn.net/v/t42.1790-2/10000000_599333895182862_236812351453733998_n.?_nc_cat=101&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=tmCfeOgvhKAAX8bxzcc&_nc_ht=video.fktm6-1.fna&oh=00_AT9prjmrW9Fw9_XflCupW6kPFwsufUsm9EwO4RnNET7Ayg&oe=63118C9F
41,cat,Active,"Your Cat Backpack by Travel Cat
Sponsored","𝐖𝐞𝐥𝐜𝐨𝐦𝐞 𝐭𝐨 𝐭𝐡𝐞 #𝟏 𝐂𝐚𝐭 𝐓𝐫𝐚𝐯𝐞𝐥 𝐆𝐞𝐚𝐫 𝐒𝐢𝐭𝐞 𝐢𝐧 𝐭𝐡𝐞 𝐖𝐨𝐫𝐥𝐝!

Shop Now: https://yourcatbackpack.com/",YOURCATBACKPACK.COM,ID: 551422170090667,"Started running on Aug 31, 2022",https://www.facebook.com/yourcatbackpack/,,https://video.fktm6-1.fna.fbcdn.net/v/t42.1790-2/288358325_374670571314182_8947756775500167494_n.?_nc_cat=108&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=fQtJ6PBctUsAX-JKYeH&_nc_ht=video.fktm6-1.fna&oh=00_AT9N3MZkEv8i02_SpDr9WWdD-M2zqgZ9zsaZ4fFg9gtV4A&oe=63118C39
42,cat,Active,"Your Cat Backpack by Travel Cat
Sponsored","This is your sign to get out & explore today! 🐾😽 ⁣
⁣
⁣
@clementineandheathcliff ⁣
⁣
⁣
#yourcatbackpack #thefatcat #travelcatshop #getoutside #takeyourcatoutside #cats #catsofinstagram",YOURCATBACKPACK.COM,ID: 1411716515982302,"Started running on Aug 31, 2022",https://www.facebook.com/yourcatbackpack/,,https://video.fktm6-1.fna.fbcdn.net/v/t42.1790-2/10000000_639937344154852_1379301002197705389_n.?_nc_cat=105&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=JHEuy6slXtYAX-MoMvt&_nc_ht=video.fktm6-1.fna&oh=00_AT9CRi5Rs4cpjCtnjEKFAoFOm10TqqZ09rSnBsqvHLse8A&oe=6311854E
43,cat,Active,"Your Cat Backpack by Travel Cat
Sponsored","𝐖𝐞𝐥𝐜𝐨𝐦𝐞 𝐭𝐨 𝐭𝐡𝐞 #𝟏 𝐂𝐚𝐭 𝐓𝐫𝐚𝐯𝐞𝐥 𝐆𝐞𝐚𝐫 𝐒𝐢𝐭𝐞 𝐢𝐧 𝐭𝐡𝐞 𝐖𝐨𝐫𝐥𝐝!

Shop Now: https://yourcatbackpack.com/",YOURCATBACKPACK.COM,ID: 794402045241236,"Started running on Aug 31, 2022",https://www.facebook.com/yourcatbackpack/,,https://video.fktm6-1.fna.fbcdn.net/v/t42.1790-2/289124110_1660635217646094_3134020467815527712_n.?_nc_cat=108&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=5A8fPMlITK0AX9ulafg&_nc_ht=video.fktm6-1.fna&oh=00_AT9joDEa1beuO7huPlVtumLlCgXfzJx0XdJgTpldEngu1A&oe=6311825C
44,cat,Active,"Your Cat Backpack by Travel Cat
Sponsored","𝐖𝐞𝐥𝐜𝐨𝐦𝐞 𝐭𝐨 𝐭𝐡𝐞 #𝟏 𝐂𝐚𝐭 𝐓𝐫𝐚𝐯𝐞𝐥 𝐆𝐞𝐚𝐫 𝐒𝐢𝐭𝐞 𝐢𝐧 𝐭𝐡𝐞 𝐖𝐨𝐫𝐥𝐝!

Shop Now: https://yourcatbackpack.com/",YOURCATBACKPACK.COM,ID: 2253622891473363,"Started running on Aug 31, 2022",https://www.facebook.com/yourcatbackpack/,,https://video.fktm6-1.fna.fbcdn.net/v/t42.1790-2/289092340_435773481726880_8029900740384644211_n.?_nc_cat=111&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=ryCuIWW5krsAX8I-oB6&_nc_ht=video.fktm6-1.fna&oh=00_AT9EsiVOnzVNhV02qv6vnro5GVN6zwjKZTnXTwU7EBOw_Q&oe=631184F4
45,cat,Active,"Cat Person
Sponsored","Cats are carnivores who need lots of meat. While big cat food brands put as little protein as possible in their recipes to call them “chicken,” we pack as much protein as possible in every meal—at least 50% more than industry standards.",,ID: 814233606241347,"Started running on Aug 31, 2022",https://www.facebook.com/catperson/,,https://video.fktm6-1.fna.fbcdn.net/v/t42.1790-2/302108457_814233656241342_2639645835105351316_n.?_nc_cat=100&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=LQUa9DosN9QAX-AW16S&_nc_ht=video.fktm6-1.fna&oh=00_AT_agnipNFbNK_mCztl2tZyXHGXmF1A3VL3QfqvVQoQA3w&oe=63118D99
46,cat,Active,"Carolina Cat
Sponsored","From residential construction and landscaping to road repair and agriculture, countless industries rely on the productivity of Cat® mini-excavators. That's why we are offering hassle-free financing for compact equipment through the end of the year.

Check out the specs below!",CAROLINACAT.COM,ID: 607707600857219,"Started running on Aug 30, 2022",https://www.facebook.com/carolinacat/,https://scontent.fktm6-1.fna.fbcdn.net/v/t39.35426-6/302526729_451417570263672_5371170388812376114_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=17E89M24JPsAX9MqSjv&_nc_ht=scontent.fktm6-1.fna&oh=00_AT8-nuCEuYPpbzEEg-PjNS4jdKZjyr4knbniMkT1Oq5fCw&oe=6315967A,
